activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Documents Clearing Services,101126.0,82,829,8299,Other business support service activities n.e.c.,,IFZA,
Documents Copying Services,101127.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,IFZA,
Documents Destroying Services,101126.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,IFZA,
Documents Storage Services,101129.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,IFZA,
Domestic Kitchen & Fixture Trading,101131.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,IFZA,
Domestic Pets Grooming,101133.0,96,960,9602,Hairdressing and other beauty treatment,,IFZA,
"Doors, Windows & other Plastic Building Products Trading",101136.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,IFZA,
Dried Vegetables & Fruit Trading,101141.0,46,463,4630,"Wholesale of food, beverages and tobacco",,IFZA,
Dry Batteries Trading,101150.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,IFZA,
Dry Cleaning Services,101151.0,96,960,9601,Washing and (dry-) cleaning of textile and fur products,,IFZA,
E-sports Data & Analytics Services,101175.0,63,631,6311,"Data processing, hosting and related activities",,IFZA,
E-sports Event Management,101176.0,73,731,7310,Advertising,,IFZA,
E-sports League Operator,101177.0,73,731,7310,Advertising,,IFZA,
E-sports Online Publication,101178.0,58,581,5819,Other publishing activities,,IFZA,
E-sports Tournament Platform,101180.0,73,731,7310,Advertising,,IFZA,
Ecommerce,101163.0,47,479,4791,Retail sale via mail order houses or via Internet,,IFZA,
Education & Training Computer Software,101196.0,62,620,6201,Computer programming activities,,IFZA,
Education Support Services,101200.0,85,855,8550,Educational support activities,,IFZA,
Educational & Recreational Tours Organizing,101202.0,79,791,7912,Tour operator activities,,IFZA,
Educational Aids Trading,101203.0,46,464,4649,Wholesale of other household goods,,IFZA,
Educational Quality Assurance Services,101206.0,85,855,8550,Educational support activities,,IFZA,
Educational Services,101207.0,85,854,8549,Other education n.e.c.,,IFZA,
Educational Technologies Research & Development,101208.0,72,722,7220,Research and experimental development on social sciences and humanities,,IFZA,
Egg Trading,101212.0,46,463,4630,"Wholesale of food, beverages and tobacco",,IFZA,
Electric Bikes Rental,101217.0,77,772,7721,Renting and leasing of recreational and sports goods,,IFZA,
