activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
"Exterior cleaning of buildings of all types, including offices, factories, shops, institutions and other business and professional premises and multiunit residential buildings",100490.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Facilities management services,101380.0,82,821,8211,Combined office administrative service activities,,SHAMS,
Fashion design consultancy,101390.0,74,741,7410,Specialized design activities,,SHAMS,
"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other interior decoration and other fashion goods as well as other personal or household goods",101391.0,74,741,7410,Specialized design activities,,SHAMS,
Fast-food restaurants,101393.0,56,561,5610,Restaurants and mobile food service activities,,SHAMS,
Festival Organization and Management,101403.0,82,823,8230,Organization of conventions and trade shows,,SHAMS,
"Film processing:
 • Developing, printing and enlarging from client-taken negatives or cine-films
 • Film developing and photo printing laboratories
 • One hour photo shops (not part of camera stores)
 • Mounting of slides
 • Copying and restoring or transparency retouching in connection with photographs",101416.0,74,742,7420,Photographic activities,,SHAMS,
Film-making Training,101415.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Films Production,101418.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Films Production Supportive Services,101419.0,59,592,5920,Sound recording and music publishing activities,,SHAMS,
Financial advisory and financial analysis,101422.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
Financial leasing,101425.0,64,649,6491,Financial leasing,,SHAMS,
