activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
"Desalination, Sewage Treatment Plants Operation and Maintenance",101025.0,37,370,3700,Sewerage,,SRTIP,
Design and Artworks Services,101027.0,18,181,1812,Service activities related to printing,,SRTIP,
Design and Production Of Frame Prototypes,101028.0,74,741,7410,Specialized design activities,,SRTIP,
Design Services,101032.0,74,741,7410,Specialized design activities,,SRTIP,
Design Training Services,101034.0,85,854,8549,Other education n.e.c.,,SRTIP,
Designing the databases,101037.0,62,620,6201,Computer programming activities,,SRTIP,
Detergents and Cleansers Trading,101044.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Development and Innovation in Electronic Trading in Electronic Products and Services,101048.0,62,620,6209,Other information technology and computer service activities,,SRTIP,
Diesel Fuel Trading,101058.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,SRTIP,
Digital and Interactive Game Development,101063.0,62,620,6201,Computer programming activities,,SRTIP,
Digital Content Creation Services,101064.0,62,620,6202,Computer consultancy and computer facilities management activities,,SRTIP,
"Directories, Guides, Manuals and Catalogues Services",101078.0,58,581,5819,Other publishing activities,,SRTIP,
Disinfection and Sterilization Services,101086.0,81,812,8129,Other building and industrial cleaning activities,,SRTIP,
Dismantling and destruction of means of transport (Resale),101087.0,38,383,3830,Materials recovery,,SRTIP,
Distributed Ledger Technology Services,101100.0,62,620,6201,Computer programming activities,,SRTIP,
Distributed Ledger Technology Services ,101100.0,62,620,6209,Other information technology and computer service activities,,SRTIP,
Diving Equipment Trading,101115.0,47,476,4763,Retail sale of sporting equipment in specialized stores,,SRTIP,
Documents Clearing Services,101126.0,82,829,8299,Other business support service activities n.e.c.,,SRTIP,
Domestic Kitchen and Fixture Trading,101131.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,SRTIP,
Dried Vegetables and Fruit Trading,101141.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
"Drilling Engineering, Reservoir and Production Consultancy",101143.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
"Drilling, Stock and Production Engineering Consultancy",101144.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Drug Store,101148.0,47,477,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",,SRTIP,
Dry Batteries Trading,101150.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
Dry Ice Trading,101155.0,46,464,4649,Wholesale of other household goods,,SRTIP,
E-Commerce Through Social Media,101164.0,47,479,4791,Retail sale via mail order houses or via Internet,,SRTIP,
E-Commerce Through Websites,101165.0,47,479,4791,Retail sale via mail order houses or via Internet,,SRTIP,
E-Sports Data and Analytics Services,101175.0,63,631,6311,"Data processing, hosting and related activities",,SRTIP,
E-sports Online Publication,101178.0,58,581,5819,Other publishing activities,,SRTIP,
E-Transaction Complex,101185.0,63,631,6312,Web portals,,SRTIP,
Early Educational and Rehabilitation Services,101189.0,88,889,8890,Other social work activities without accommodation,,SRTIP,
Economical Feasibility Consultancy and Studies,101193.0,70,702,7020,Management consultancy activities,,SRTIP,
Education and Training Computer Software,101196.0,62,620,6201,Computer programming activities,,SRTIP,
"Education Services Enterprises Investment, Institution and Management",101199.0,66,663,6630,Fund management activities,,SRTIP,
Education Support Services,101200.0,85,855,8550,Educational support activities,,SRTIP,
Educational Aids Trading,101203.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Educational Consultancy,101197.0,85,855,8550,Educational support activities,,SRTIP,
Educational Services,101207.0,85,854,8549,Other education n.e.c.,,SRTIP,
Educational Technologies Research and Development,101208.0,72,722,7220,Research and experimental development on social sciences and humanities,,SRTIP,
Egg Trading,101212.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
"Electrical, Electronic Appliances and Spare Parts Trading",101227.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
Electrical and Electronic Appliances Spare Parts Trading,101229.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
Electrical Fittings Trading,101235.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
Electrical Generators And Transformers Installation And Maintenance,101236.0,43,432,4321,Electrical installation,,SRTIP,
Electrical Network and Distribution Engineering Consultancy,101241.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Electricity Facilities Engineering Consultancy,101243.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Electricity Transmission And Control Equipment Installation Works,101245.0,43,432,4321,Electrical installation,,SRTIP,
Electromechanical Equipment and Related Accessories Trading,101246.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Electromechanical Equipment Installation and Maintenance,101247.0,43,432,4322,"Plumbing, heat and air-conditioning installation",,SRTIP,
Electronic Chips Designing and Programing,101254.0,62,620,6201,Computer programming activities,,SRTIP,
Electronic Chips Programming Services,101255.0,62,620,6201,Computer programming activities,,SRTIP,
Electronic Cigarettes and Accessories Trading,101256.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
Electronic Devices Engineering Consultancy,101258.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Electronic Equipment and Devices Systems and Software Designing,101261.0,62,620,6201,Computer programming activities,,SRTIP,
Electronic Games,101263.0,93,932,9329,Other amusement and recreation activities n.e.c.,,SRTIP,
Electronic Precision Instruments Trading,101270.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
Elevators and Escalators and Spare Parts Trading,101279.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Energy Efficiency of Buildings Services,101295.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Energy Projects Engineering Consultancy,101299.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Engineering Consultancy in illumination and External Lighting for Buildings,101303.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
